,loudness
650,-6.146
651,-6.672
652,-11.845
653,-7.351
654,-5.541
655,-11.777
656,-2.708
657,0.175
658,-4.892
659,-5.318
660,-5.896
661,-3.323
662,-5.661
663,-4.393
664,-6.199
665,-9.789
666,-7.335
667,-6.806
668,-4.188
669,-5.563
670,-6.324
671,-5.117
672,-4.183
673,-5.065
674,
675,-4.888
676,-8.767
677,-7.539
678,-6.272
679,-5.662
680,-8.65
681,-10.881
682,-6.579
683,-8.461
684,-2.105
685,-5.64
686,-6.741
687,
688,-13.672
689,-5.628
690,-4.257
691,-6.054
692,-8.531
693,-10.567
694,-6.293
695,-11.104
696,-9.108
697,-7.299
698,-5.963
699,-4.993
700,-6.741
701,-8.804
702,-6.508
703,-5.446
704,-5.191
705,-2.878
706,-10.131
707,-4.748
708,-5.464
709,-7.73
710,-7.357
711,-8.494
712,-10.131
713,-2.878
714,-8.151
715,-5.808
716,-7.16
717,-3.509
718,-5.837
719,-5.363
720,-7.059
721,-11.199
722,-4.156
723,-5.667
724,-8.06
725,-5.85
726,-6.245
727,-9.457
728,-5.405
729,-5.408
730,-5.68
731,-6.245
732,-5.252
733,-6.42
734,-8.217
735,-9.457
736,-7.426
737,-7.45
738,-6.745
739,-6.525
740,-4.172
741,-6.142
742,-7.16
743,-7.033
744,-8.316
745,-7.639
746,-4.935
747,-5.48
748,-8.446
749,-6.978
750,-5.667
751,-5.696
752,-4.833
753,-10.382
754,-7.187
755,-7.92
756,-6.903
757,-6.718
758,-5.788
759,-4.921
760,-6.781
761,-6.199
762,-7.956
763,-4.768
764,-5.969
765,-5.085
766,-7.861
767,-5.732
768,-5.498
769,-2.459
770,-22.282
771,-15.268
772,-4.51
773,-4.965
774,-12.565
775,-5.16
776,-13.378
777,-8.469
778,-4.139
779,-6.138
780,-6.638
781,-10.358
782,-5.785
783,-6.408
784,-8.04
785,-3.739
786,-4.711
787,-7.323
788,-3.422
789,-11.262
790,-7.466
791,-8.443
792,-7.458
793,-5.266
794,-3.69
795,-8.888
796,-5.396
797,-4.751
798,-6.081
799,-3.922
800,-3.386
801,-7.26
802,-5.102
803,-7.486
804,-7.221
805,-4.653
806,-5.164
807,-7.371
808,-5.43
809,-7.259
810,0.175
811,-8.975
812,-5.046
813,-6.793
814,-7.823
815,-3.251
816,-8.879
