,acousticness
936,0.00244
937,0.105
938,0.741
939,0.271
940,0.0279
941,0.11
942,0.000739
943,0.248
944,0.188
945,0.0141
946,0.0188
947,0.619
948,0.223
949,0.0045
950,0.0488
951,0.39
952,0.978
953,0.00157
954,0.093
955,0.187
956,0.122
957,0.0262
958,0.479
959,0.0279
960,0.389
961,0.0128
962,0.736
963,0.0546
964,0.209
965,0.115
966,0.128
967,0.011
968,0.0694
969,0.0736
970,0.025
971,0.655
972,0.233
973,0.334
974,0.0796
975,0.0204
976,0.0744
977,0.791
978,0.619
979,0.00981
980,0.162
981,0.541
982,0.00578
983,0.588
984,0.000707
985,0.479
986,0.00949
987,
988,0.0796
989,0.0399
990,0.00286
991,0.0153
992,0.0933
993,0.308
994,0.385
995,0.0249
996,0.00244
997,0.541
998,0.221
999,0.31
1000,0.0185
1001,0.156
1002,0.256
1003,
1004,0.0066
1005,0.101
1006,0.181
1007,0.0652
1008,0.337
1009,0.0123
1010,0.194
1011,0.0768
1012,0.00765
1013,0.0521
1014,0.222
1015,0.0101
1016,0.105
1017,0.00266
1018,0.193
1019,0.0942
1020,0.0827
1021,0.0862
1022,0.0335
1023,0.0138
1024,0.523
1025,0.000282
1026,0.0123
1027,0.0303
1028,0.0111
1029,0.00748
1030,0.0277
1031,0.000707
1032,0.0365
1033,0.228
1034,0.0187
1035,0.00134
1036,0.00711
1037,0.209
1038,0.264
1039,0.511
1040,0.352
1041,0.00671
1042,0.222
1043,0.546
1044,0.257
1045,0.0104
1046,0.184
1047,0.309
1048,0.0038
1049,0.133
1050,0.142
1051,0.113
1052,0.982
1053,0.0179
1054,0.459
1055,0.00236
1056,0.541
1057,0.197
1058,0.325
1059,0.606
1060,0.398
1061,0.288
1062,0.333
1063,0.229
1064,0.0888
1065,0.00307
1066,0.0297
1067,0.00104
1068,0.0342
1069,0.647
1070,0.0642
1071,0.212
1072,0.00419
1073,0.0771
1074,0.0331
1075,0.0345
1076,0.0362
1077,0.0161
1078,0.0161
1079,0.0127
1080,0.0172
1081,0.00413
1082,0.0963
1083,0.261
1084,0.0855
1085,0.11
1086,0.371
1087,0.0732
1088,0.0363
1089,0.00172
1090,0.484
1091,0.0394
1092,0.104
1093,0.0149
1094,0.0123
1095,0.258
1096,0.0993
1097,0.00843
1098,0.011
1099,0.0545
1100,0.18
1101,0.0744
1102,0.123
1103,0.279
1104,0.228
1105,0.501
1106,0.137
1107,0.0161
1108,0.0736
1109,0.208
1110,0.0133
1111,0.188
1112,0.00534
1113,0.138
1114,0.0371
1115,0.00947
1116,0.00286
1117,0.0467
1118,0.552
1119,0.0149
1120,0.105
1121,0.0279
1122,0.0128
1123,0.113
1124,0.0608
1125,0.00493
1126,0.00169
1127,0.0293
1128,0.348
1129,0.328
1130,0.0225
1131,0.0297
1132,0.0297
1133,0.541
1134,0.229
1135,0.0457
1136,0.0298
1137,0.106
1138,0.0975
1139,0.29
1140,0.0239
1141,0.0648
1142,0.629
1143,0.051
1144,0.0706
1145,0.00534
1146,0.0123
1147,0.536
1148,0.0138
1149,0.401
1150,0.0593
1151,0.0558
1152,0.21
1153,0.516
1154,0.0295
1155,0.0982
1156,0.0373
1157,0.309
1158,0.0322
1159,0.192
1160,0.0703
1161,0.0652
1162,0.484
1163,0.157
1164,0.0247
1165,0.293
1166,0.103
1167,0.22
1168,0.115
1169,0.373
1170,0.128
1171,0.0852
1172,0.0646
1173,0.115
1174,0.0421
1175,0.00761
1176,0.312
1177,0.00998
1178,0.00748
1179,0.393
1180,0.00311
1181,0.393
1182,0.019
1183,0.344
1184,0.113
1185,0.25
1186,0.126
1187,0.259
1188,0.121
1189,0.0129
1190,0.0219
1191,0.28
1192,0.0466
1193,0.665
1194,0.0431
1195,0.0467
1196,0.0557
1197,0.0948
1198,0.00135
1199,0.0738
1200,0.258
1201,0.219
1202,0.295
1203,0.0599
1204,0.0134
1205,0.301
1206,0.181
1207,0.134
1208,0.283
1209,0.949
1210,0.00991
1211,0.00244
1212,0.133
1213,0.665
1214,0.469
1215,
1216,0.0738
1217,0.101
1218,0.0574
1219,0.0395
1220,0.071
1221,0.259
1222,0.0536
1223,0.0507
1224,0.000402
1225,0.084
1226,0.0128
1227,0.0703
1228,0.11
1229,0.0703
1230,0.0481
1231,0.162
1232,0.426
1233,0.0127
1234,0.0111
1235,0.0622
1236,0.115
1237,0.674
1238,0.674
1239,0.791
1240,0.44
1241,0.556
1242,0.0536
1243,0.0298
1244,0.0614
1245,0.0508
1246,0.00134
1247,0.0121
1248,0.0152
1249,0.156
1250,0.123
1251,0.0188
1252,0.00981
1253,0.0735
1254,0.541
1255,0.206
1256,0.00554
1257,0.00587
1258,0.00454
1259,0.325
1260,0.246
1261,0.0362
1262,0.0106
1263,0.0207
1264,0.288
1265,0.00277
1266,0.0403
1267,0.0252
1268,0.0608
1269,0.542
1270,0.352
1271,0.0757
1272,0.0251
1273,0.0987
1274,0.0301
1275,0.0738
1276,0.00587
1277,0.036
1278,0.0107
1279,0.733
1280,0.268
1281,0.017
1282,0.246
1283,0.0599
1284,0.189
1285,0.0131
1286,0.123
1287,0.193
1288,0.0232
1289,0.0384
1290,0.15
1291,0.774
1292,0.0247
1293,0.0399
1294,0.0128
1295,0.271
1296,0.344
1297,0.25
1298,0.0371
1299,0.344
1300,0.197
1301,0.061
1302,0.155
1303,0.0646
1304,0.223
1305,0.135
1306,0.207
1307,0.0207
1308,0.529
1309,0.585
1310,0.198
1311,0.0127
1312,0.449
1313,0.58
1314,0.077
1315,0.0479
1316,0.243
1317,0.552
1318,0.0273
1319,0.157
1320,0.00336
1321,0.0164
1322,0.00462
1323,0.139
1324,0.088
1325,0.0127
1326,
