,energy
1078,0.573
1079,0.838
1080,0.719
1081,0.644
1082,0.532
1083,0.556
1084,0.537
1085,0.756
1086,0.694
1087,0.751
1088,0.499
1089,0.492
1090,0.648
1091,0.587
1092,0.586
1093,0.572
1094,0.501
1095,0.613
1096,0.32
1097,0.716
1098,0.574
1099,0.684
1100,0.802
1101,0.654
1102,0.602
1103,0.554
1104,0.842
1105,0.81
1106,0.759
1107,0.789
1108,0.724
1109,0.689
1110,0.632
1111,0.649
1112,0.59
1113,0.576
1114,0.47
1115,0.789
1116,0.681
1117,0.633
1118,0.631
1119,0.467
1120,0.457
1121,0.523
1122,0.706
1123,0.448
1124,0.662
1125,0.863
1126,0.83
1127,0.769
1128,0.756
1129,0.692
1130,0.612
1131,0.834
1132,0.834
1133,0.768
1134,0.731
1135,0.597
1136,0.669
1137,0.701
1138,0.576
1139,0.753
1140,0.693
1141,0.536
1142,0.449
1143,0.656
1144,0.609
1145,0.723
1146,0.735
1147,0.544
1148,0.62
1149,0.616
1150,0.476
1151,0.932
1152,0.783
1153,0.582
1154,0.956
1155,0.61
1156,0.339
1157,0.464
1158,0.81
1159,0.645
1160,0.531
1161,0.604
1162,0.178
1163,0.524
1164,0.586
1165,0.56
1166,0.426
1167,0.644
1168,0.474
1169,0.698
1170,0.608
1171,0.847
1172,0.676
1173,0.746
1174,0.658
1175,0.91
1176,0.473
1177,0.529
1178,0.626
1179,0.634
1180,0.929
1181,0.634
1182,0.809
1183,0.586
1184,0.526
1185,0.658
1186,0.469
1187,0.726
1188,0.73
1189,0.567
1190,0.73
1191,0.566
1192,0.521
1193,0.629
1194,0.438
1195,0.747
1196,0.891
1197,0.603
1198,0.561
1199,0.834
1200,0.613
1201,0.568
1202,0.708
1203,0.432
1204,0.723
1205,0.872
1206,0.545
1207,0.338
1208,0.574
1209,0.0668
1210,0.633
1211,0.93
1212,0.607
1213,0.629
1214,0.391
1215,
1216,0.834
1217,0.771
1218,0.557
1219,0.593
1220,0.6
1221,0.496
1222,0.415
1223,0.782
1224,0.841
1225,0.556
1226,0.594
1227,0.531
1228,0.756
1229,0.531
1230,0.848
1231,0.814
1232,0.608
1233,0.838
1234,0.492
1235,0.847
1236,0.474
1237,0.619
1238,0.619
1239,0.52
1240,0.525
1241,0.537
1242,0.415
1243,0.535
1244,0.594
1245,0.569
1246,0.728
1247,0.418
1248,0.646
1249,0.632
1250,0.31
1251,0.603
1252,0.692
1253,0.586
1254,0.518
1255,0.977
1256,0.784
1257,0.615
1258,0.523
1259,0.67
1260,0.75
1261,0.949
1262,0.534
1263,0.792
1264,0.612
1265,0.698
1266,0.786
1267,0.649
1268,0.662
1269,0.818
1270,0.623
1271,0.679
1272,0.511
1273,0.535
1274,0.609
1275,0.834
1276,0.615
1277,0.691
1278,0.793
1279,0.4
1280,0.764
1281,0.604
1282,0.75
1283,0.432
1284,0.787
