,liveness
790,0.204
791,0.334
792,0.191
793,0.248
794,0.189
795,0.151
796,0.338
797,0.5
798,0.116
799,0.382
800,0.329
801,0.339
802,0.269
803,0.101
804,0.0788
805,0.151
806,0.183
807,0.211
808,0.247
809,0.151
810,0.415
811,0.192
812,0.124
813,0.204
814,0.256
815,0.227
816,0.178
817,0.241
818,0.35
819,0.208
820,0.0705
821,0.429
822,0.111
823,0.0671
824,0.122
825,0.204
826,0.276
827,0.432
828,0.0984
829,0.1
830,0.096
831,0.124
832,0.313
833,0.104
834,0.106
835,0.292
836,0.241
837,0.357
838,
839,0.129
840,0.196
841,0.425
842,0.454
843,0.1
844,0.127
845,0.157
846,0.368
847,0.213
848,0.125
849,0.79
850,
851,0.114
852,0.383
853,0.132
854,0.118
855,0.135
856,0.155
857,0.087
858,0.0916
859,
860,0.0947
861,0.074
862,0.122
863,0.192
864,0.167
865,0.226
866,0.102
867,0.139
868,0.334
869,0.139
870,0.0964
871,0.174
872,0.124
873,0.0981
874,0.213
875,0.116
876,0.0852
877,0.64
878,0.108
879,0.195
880,0.0796
881,0.057
882,0.352
883,0.0896
884,0.113
885,0.108
886,0.0899
887,0.0705
888,0.165
889,0.621
890,0.165
891,0.235
892,0.152
893,0.14
894,0.102
895,0.0785
896,0.417
897,0.0917
898,0.63
899,0.102
900,0.124
901,0.248
902,0.193
903,0.106
904,0.103
905,0.114
906,0.231
907,0.119
908,0.36
909,0.115
910,0.219
911,0.11
912,0.146
913,0.301
914,0.129
915,0.406
916,0.164
917,0.302
918,0.0927
919,0.0649
920,0.087
921,0.193
922,0.409
923,0.0917
924,0.099
925,0.382
926,0.115
927,0.149
928,0.0992
929,0.0571
930,0.0338
931,0.158
932,0.213
933,0.152
934,0.13
935,0.0816
936,0.497
937,0.12
938,0.0966
939,0.319
940,0.103
941,0.247
942,0.235
943,0.138
944,0.0806
945,0.099
946,0.103
947,0.114
948,0.406
949,0.104
950,0.214
951,0.176
952,0.0897
953,0.0573
954,0.184
955,0.132
956,0.0646
957,0.114
958,0.128
959,0.344
960,0.111
961,0.18
962,0.0925
963,0.21
964,0.105
965,0.169
966,0.182
967,0.156
968,0.0521
969,0.0631
970,0.0906
971,0.0929
972,0.0816
973,0.0571
974,0.176
975,0.411
976,0.138
977,0.108
978,0.114
979,0.603
980,0.0805
981,0.132
982,0.156
983,0.102
984,0.318
985,0.128
986,0.0895
987,
988,0.176
989,0.138
990,0.291
991,0.111
992,0.14
993,0.121
994,0.181
995,0.0967
996,0.23
997,0.132
998,0.135
999,0.198
1000,0.22
1001,0.176
1002,0.17
1003,
1004,0.121
1005,0.135
1006,0.323
1007,0.124
1008,0.166
1009,0.372
1010,0.141
1011,0.4
1012,0.191
1013,0.0924
1014,0.281
1015,0.111
1016,0.366
1017,0.166
1018,0.18
1019,0.23
1020,0.542
1021,0.207
1022,0.156
1023,0.15
1024,0.108
1025,0.0958
1026,0.0546
1027,0.383
1028,0.382
1029,0.167
1030,0.29
1031,0.318
1032,0.114
1033,0.307
1034,0.13
1035,0.132
1036,0.0856
1037,0.139
1038,0.123
1039,0.409
1040,0.131
1041,0.105
1042,0.612
1043,0.111
1044,0.13
1045,0.0917
1046,0.145
1047,0.118
1048,0.161
1049,0.116
1050,0.179
1051,0.151
1052,0.103
1053,0.107
1054,0.0942
1055,0.0812
1056,0.105
1057,0.099
1058,0.0662
1059,0.11
1060,0.603
1061,0.482
1062,0.342
1063,0.224
1064,0.144
1065,0.133
1066,0.34
1067,0.227
1068,0.0936
1069,0.32
1070,0.0832
1071,0.0866
1072,0.285
1073,0.105
1074,0.144
1075,0.0986
1076,0.417
1077,0.109
1078,0.109
1079,0.101
1080,0.107
1081,0.217
1082,0.493
1083,0.144
1084,0.103
1085,0.247
1086,0.109
1087,0.127
1088,0.129
1089,0.081
1090,0.126
1091,0.111
1092,0.79
1093,0.175
1094,0.316
1095,0.123
1096,0.121
1097,0.892
1098,0.156
1099,0.104
1100,0.241
1101,0.138
1102,0.0637
1103,0.103
1104,0.856
1105,0.117
1106,0.167
1107,0.451
1108,0.0631
1109,0.559
1110,0.64
1111,0.122
1112,0.11
1113,0.08
1114,0.144
1115,0.189
1116,0.291
1117,0.139
1118,0.5
1119,0.334
1120,0.12
1121,0.103
1122,0.352
1123,0.0914
1124,0.127
1125,0.381
1126,0.382
1127,0.104
1128,0.182
1129,0.153
1130,0.0505
1131,0.34
1132,0.34
1133,0.105
1134,0.224
1135,0.138
1136,0.127
1137,0.208
1138,0.207
1139,0.628
1140,0.11
1141,0.588
1142,0.113
1143,0.115
1144,0.152
1145,0.41
1146,0.145
1147,0.17
1148,0.15
1149,0.15
1150,0.199
1151,0.097
1152,0.113
1153,0.115
1154,0.46
1155,0.561
1156,0.187
1157,0.107
1158,0.133
1159,0.163
1160,0.224
1161,0.124
1162,0.122
1163,0.136
1164,0.132
1165,0.0984
1166,0.213
1167,0.116
1168,0.169
1169,0.106
1170,0.0932
1171,0.139
1172,0.0863
1173,0.427
1174,0.0927
1175,0.16
1176,0.527
1177,0.0884
1178,0.167
1179,0.0952
1180,0.11
1181,0.0952
1182,0.114
1183,0.0755
1184,0.105
1185,0.111
1186,0.099
1187,0.0976
1188,0.0994
1189,0.382
1190,0.336
1191,0.106
1192,0.119
1193,0.447
1194,0.139
1195,0.0772
1196,0.134
1197,0.113
1198,0.187
1199,0.0924
1200,0.123
1201,0.513
1202,0.355
1203,0.146
1204,0.196
1205,0.136
1206,0.091
1207,0.14
1208,0.274
1209,0.194
1210,0.389
1211,0.497
1212,0.0864
1213,0.447
1214,0.297
1215,
1216,0.0924
1217,0.135
1218,0.0662
1219,0.484
1220,0.353
1221,0.252
1222,0.131
1223,0.0785
1224,0.242
1225,0.527
1226,0.118
1227,0.224
1228,0.247
1229,0.224
1230,0.121
1231,0.16
1232,0.105
1233,0.101
1234,0.382
1235,0.0816
1236,0.169
1237,0.126
1238,0.126
1239,0.108
1240,0.0921
1241,0.102
1242,0.131
1243,0.0851
1244,0.1
1245,0.056
1246,0.132
1247,0.126
1248,0.125
1249,0.605
1250,0.0931
1251,0.103
1252,0.603
1253,0.106
1254,0.132
1255,0.0703
1256,0.0671
1257,0.109
