,track_length
1007,264531.0
1008,202193.0
1009,195257.0
1010,211200.0
1011,171816.0
1012,238000.0
1013,228759.0
1014,173419.0
1015,165213.0
1016,259519.0
1017,140000.0
1018,236000.0
1019,151539.0
1020,161377.0
1021,209115.0
1022,219360.0
1023,235535.0
1024,255413.0
1025,177000.0
1026,126960.0
1027,251422.0
1028,168379.0
1029,195906.0
1030,147720.0
1031,248586.0
1032,150760.0
1033,96063.0
1034,183588.0
1035,321560.0
1036,227073.0
1037,211800.0
1038,174706.0
1039,202040.0
1040,351253.0
1041,197758.0
1042,272500.0
1043,221440.0
1044,192606.0
1045,179387.0
1046,175827.0
1047,175093.0
1048,247426.0
1049,178226.0
1050,165640.0
1051,138996.0
1052,202200.0
1053,101851.0
1054,192179.0
1055,157520.0
1056,212821.0
1057,193511.0
1058,299226.0
1059,210666.0
1060,242506.0
1061,237733.0
1062,268933.0
1063,228386.0
1064,195299.0
1065,239266.0
1066,338866.0
1067,203133.0
1068,215172.0
1069,164619.0
1070,200889.0
1071,192080.0
1072,202962.0
1073,174444.0
1074,145121.0
1075,173061.0
1076,199432.0
1077,237654.0
1078,237654.0
1079,404666.0
1080,217000.0
1081,211266.0
1082,210000.0
1083,135418.0
1084,218200.0
1085,156497.0
1086,324189.0
1087,198666.0
1088,156637.0
1089,107146.0
1090,123560.0
1091,179021.0
1092,196652.0
1093,180293.0
1094,151849.0
1095,166605.0
1096,113898.0
1097,181237.0
1098,199227.0
1099,150866.0
1100,153337.0
1101,194843.0
1102,189480.0
1103,140400.0
1104,98200.0
1105,209269.0
1106,245386.0
1107,131064.0
1108,221272.0
1109,158193.0
1110,235232.0
1111,153800.0
1112,183527.0
1113,127200.0
1114,242306.0
1115,270714.0
1116,135064.0
1117,195046.0
1118,178213.0
1119,191251.0
1120,181158.0
1121,217338.0
1122,189176.0
1123,234215.0
1124,163320.0
1125,89155.0
1126,310666.0
1127,233901.0
1128,184347.0
1129,240050.0
1130,204000.0
1131,338866.0
1132,338866.0
1133,212821.0
1134,228386.0
1135,180453.0
1136,196111.0
1137,175203.0
1138,135000.0
1139,162447.0
1140,233786.0
1141,268949.0
1142,220487.0
1143,120076.0
1144,237735.0
1145,180480.0
1146,185714.0
1147,375050.0
1148,235535.0
1149,199026.0
1150,174315.0
1151,214245.0
1152,191436.0
1153,145632.0
1154,276920.0
1155,235880.0
1156,203200.0
1157,234614.0
1158,266325.0
1159,231963.0
1160,386906.0
1161,264531.0
1162,189289.0
1163,222592.0
1164,200106.0
1165,225050.0
1166,129843.0
1167,157400.0
1168,144000.0
1169,266551.0
1170,116680.0
1171,201560.0
1172,148278.0
1173,256586.0
1174,213520.0
1175,281146.0
1176,70044.0
1177,151481.0
1178,195906.0
1179,271640.0
1180,417226.0
1181,271640.0
1182,349293.0
1183,199549.0
1184,339066.0
1185,195428.0
1186,165053.0
1187,126345.0
1188,254740.0
1189,238816.0
1190,157693.0
1191,183681.0
1192,167040.0
1193,216826.0
1194,251080.0
1195,413333.0
1196,225920.0
1197,243976.0
1198,156466.0
1199,547106.0
1200,166605.0
1201,547733.0
1202,246413.0
1203,236571.0
1204,214960.0
1205,188233.0
1206,186826.0
1207,85123.0
1208,189341.0
1209,76973.0
1210,349600.0
1211,179630.0
1212,176702.0
1213,216826.0
1214,119133.0
1215,
1216,547106.0
1217,195058.0
1218,186944.0
1219,223173.0
1220,244760.0
1221,180522.0
1222,241995.0
1223,202747.0
1224,305840.0
1225,193293.0
1226,216668.0
1227,386906.0
1228,156497.0
1229,386906.0
1230,212640.0
1231,230439.0
1232,208517.0
1233,404666.0
1234,168379.0
1235,297786.0
1236,144000.0
1237,255373.0
1238,255373.0
1239,172426.0
1240,238805.0
1241,135090.0
1242,241995.0
1243,195692.0
1244,169704.0
1245,271219.0
1246,321560.0
1247,180506.0
1248,213080.0
1249,232838.0
1250,145506.0
1251,202680.0
1252,167915.0
1253,165123.0
1254,217728.0
1255,175253.0
1256,121704.0
1257,215364.0
1258,185946.0
1259,299226.0
1260,272506.0
1261,199432.0
1262,225347.0
1263,204386.0
1264,185000.0
1265,117073.0
1266,224903.0
1267,189830.0
1268,163320.0
1269,49226.0
1270,351253.0
1271,278083.0
1272,176631.0
1273,198147.0
1274,207866.0
1275,547106.0
1276,215364.0
1277,140369.0
1278,154173.0
1279,166093.0
1280,264000.0
1281,139741.0
1282,272506.0
1283,236571.0
1284,159714.0
1285,179773.0
1286,260640.0
1287,236000.0
1288,233087.0
1289,269703.0
1290,166560.0
1291,150769.0
1292,200106.0
1293,171713.0
1294,275318.0
1295,223186.0
1296,199549.0
1297,195428.0
1298,242306.0
1299,199549.0
1300,239314.0
1301,343150.0
1302,156780.0
1303,148278.0
1304,195160.0
1305,181144.0
1306,243520.0
1307,204386.0
1308,224627.0
1309,144733.0
1310,296560.0
1311,404666.0
1312,204426.0
1313,482830.0
1314,158691.0
1315,190146.0
1316,229586.0
1317,178213.0
1318,225641.0
1319,203907.0
1320,194621.0
1321,179512.0
1322,467586.0
1323,129105.0
1324,179404.0
1325,404666.0
1326,
1327,188563.0
1328,169146.0
1329,227533.0
1330,197320.0
