,popularity
1739,62.0
1740,51.0
1741,62.0
1742,72.0
1743,64.0
1744,54.0
1745,79.0
1746,64.0
1747,76.0
1748,59.0
1749,53.0
1750,68.0
1751,45.0
1752,81.0
1753,88.0
1754,58.0
1755,76.0
1756,81.0
1757,53.0
1758,72.0
1759,82.0
1760,72.0
1761,61.0
1762,71.0
1763,71.0
1764,51.0
1765,80.0
1766,54.0
1767,71.0
1768,79.0
1769,73.0
1770,71.0
1771,72.0
1772,51.0
1773,74.0
1774,52.0
1775,68.0
1776,68.0
1777,72.0
1778,67.0
1779,67.0
1780,77.0
1781,71.0
1782,71.0
1783,78.0
1784,65.0
1785,62.0
1786,70.0
1787,54.0
1788,74.0
1789,73.0
1790,78.0
1791,73.0
1792,66.0
1793,80.0
1794,69.0
1795,81.0
1796,59.0
1797,79.0
1798,71.0
1799,71.0
1800,71.0
1801,58.0
1802,61.0
1803,54.0
1804,73.0
1805,82.0
1806,73.0
1807,76.0
1808,66.0
1809,60.0
1810,50.0
1811,4.0
1812,4.0
1813,87.0
1814,59.0
1815,60.0
1816,68.0
1817,72.0
1818,73.0
1819,73.0
1820,73.0
1821,27.0
1822,61.0
1823,61.0
1824,57.0
1825,37.0
1826,74.0
1827,7.0
1828,60.0
1829,85.0
1830,83.0
1831,71.0
1832,67.0
1833,79.0
1834,59.0
1835,57.0
1836,26.0
1837,79.0
1838,63.0
1839,65.0
1840,66.0
1841,88.0
1842,72.0
1843,62.0
1844,70.0
1845,82.0
1846,
1847,61.0
1848,57.0
1849,74.0
1850,60.0
1851,
1852,79.0
1853,72.0
1854,58.0
1855,82.0
1856,61.0
1857,69.0
1858,69.0
1859,68.0
1860,59.0
1861,74.0
1862,68.0
1863,76.0
1864,65.0
1865,54.0
1866,78.0
1867,74.0
1868,48.0
1869,66.0
1870,53.0
1871,66.0
1872,46.0
1873,65.0
1874,42.0
1875,32.0
1876,66.0
1877,81.0
1878,66.0
1879,46.0
1880,73.0
1881,58.0
1882,67.0
1883,59.0
1884,57.0
1885,65.0
1886,57.0
1887,74.0
1888,52.0
1889,78.0
1890,68.0
1891,70.0
1892,69.0
1893,86.0
1894,33.0
1895,83.0
1896,66.0
1897,82.0
1898,61.0
1899,56.0
1900,71.0
1901,72.0
1902,83.0
1903,73.0
1904,79.0
1905,53.0
1906,61.0
1907,82.0
1908,40.0
1909,81.0
1910,63.0
1911,76.0
1912,52.0
1913,
1914,76.0
1915,
1916,84.0
1917,71.0
1918,68.0
1919,65.0
1920,50.0
1921,86.0
1922,37.0
1923,89.0
1924,80.0
1925,51.0
1926,39.0
