,tempo
934,123.968
935,171.447
936,169.961
937,139.974
938,124.921
939,100.034
940,141.987
941,123.066
942,77.878
943,142.046
944,111.983
945,97.062
946,143.043
947,159.94
948,126.972
949,102.001
950,99.977
951,142.027
952,82.642
953,150.001
954,96.004
955,129.976
956,169.982
957,140.078
958,112.347
959,120.033
960,74.946
961,92.899
962,183.114
963,76.469
964,101.91
965,119.991
966,94.513
967,136.982
968,126.073
969,128.045
970,160.011
971,148.108
972,130.098
973,129.874
974,142.113
975,147.045
976,132.936
977,65.538
978,159.94
979,162.948
980,165.736
981,91.344
982,139.833
983,88.031
984,79.119
985,112.347
986,74.017
987,
988,142.113
989,169.03
990,159.107
991,93.023
992,161.997
993,88.932
994,141.975
995,81.539
996,135.038
997,91.344
998,150.009
999,127.999
1000,86.882
1001,81.193
1002,141.971
1003,
1004,147.031
1005,142.086
1006,124.09
1007,155.007
1008,143.078
1009,129.93
1010,74.896
1011,160.073
1012,128.012
1013,98.043
1014,155.055
1015,138.055
1016,133.053
1017,160.223
1018,120.039
1019,115.69
1020,119.099
1021,95.004
1022,137.945
1023,78.477
1024,133.993
1025,150.011
1026,207.982
1027,95.746
1028,163.806
1029,143.01
1030,181.94
1031,79.119
1032,144.988
1033,160.099
1034,112.15
1035,124.045
1036,126.008
1037,127.99
1038,142.957
1039,138.672
1040,126.018
1041,113.497
1042,117.384
1043,140.06
1044,140.016
1045,93.016
1046,196.043
1047,76.996
1048,124.08
1049,145.059
1050,142.04
1051,83.519
1052,68.995
1053,128.063
1054,77.537
1055,99.027
1056,70.056
1057,90.066
1058,101.008
1059,167.923
1060,147.984
1061,150.514
1062,82.996
1063,146.93
1064,133.082
1065,118.018
1066,125.99
1067,127.96
1068,72.57
1069,90.076
1070,133.992
1071,150.089
1072,161.993
1073,107.356
1074,129.02
1075,147.004
1076,110.984
1077,125.035
1078,125.035
1079,140.053
1080,149.97
1081,179.913
1082,120.017
1083,77.943
1084,153.06
1085,123.066
1086,122.08
1087,140.029
1088,161.042
1089,156.958
1090,139.952
1091,143.027
1092,116.971
1093,159.961
1094,159.005
1095,75.023
1096,117.89
1097,128.026
1098,136.982
1099,132.113
1100,76.069
1101,132.936
1102,151.987
1103,164.957
1104,116.166
1105,129.014
1106,140.055
1107,142.929
1108,128.045
1109,149.293
1110,173.369
1111,153.075
1112,130.003
1113,166.162
1114,75.474
1115,150.007
1116,159.107
1117,137.994
1118,94.577
1119,135.995
1120,139.974
1121,141.987
1122,170.004
1123,166.077
1124,75.445
1125,140.039
1126,102.91
1127,97.985
1128,137.993
1129,159.966
1130,120.058
1131,125.99
1132,125.99
1133,70.056
1134,146.93
1135,127.931
1136,154.056
1137,139.952
1138,159.978
1139,95.953
1140,95.967
1141,176.004
1142,122.947
1143,139.915
1144,142.037
1145,160.062
1146,168.097
1147,159.517
1148,78.477
1149,94.014
1150,94.995
1151,125.993
1152,141.882
1153,149.499
1154,173.585
1155,80.948
1156,98.986
1157,82.494
1158,166.084
1159,149.07
1160,71.994
1161,155.007
1162,85.042
1163,129.978
1164,97.981
1165,130.032
1166,140.954
1167,85.512
1168,119.991
1169,139.867
1170,156.025
1171,176.015
1172,85.018
1173,117.072
1174,151.951
1175,140.0
1176,80.972
1177,122.0
1178,143.01
1179,113.927
1180,113.47
1181,113.927
1182,118.003
1183,147.988
1184,81.404
1185,140.042
1186,110.573
1187,139.059
1188,84.894
1189,75.491
1190,92.506
1191,147.982
1192,154.983
1193,130.346
1194,124.018
1195,125.983
1196,170.13
1197,134.972
1198,157.016
1199,118.223
1200,75.023
1201,84.733
1202,158.424
1203,140.042
1204,143.013
1205,166.055
1206,139.932
1207,140.935
1208,129.967
1209,102.456
1210,83.226
1211,169.961
1212,129.938
1213,130.346
1214,134.021
1215,
1216,118.223
1217,142.086
1218,144.043
1219,130.583
1220,123.017
1221,86.003
1222,135.03
1223,132.947
1224,100.14
1225,90.494
1226,144.033
1227,71.994
1228,123.066
1229,71.994
1230,139.995
1231,155.02
1232,84.98
1233,140.053
1234,163.806
1235,171.447
1236,119.991
1237,79.165
1238,79.165
1239,65.538
1240,80.87
1241,128.009
1242,135.03
1243,130.117
1244,139.954
1245,123.028
1246,124.045
1247,135.001
1248,162.898
1249,124.603
1250,121.927
1251,143.043
1252,162.948
1253,100.062
1254,91.344
1255,126.178
1256,146.084
1257,105.955
1258,139.913
1259,101.008
1260,92.78
1261,110.984
1262,162.066
1263,77.542
1264,96.943
1265,98.43
1266,143.038
1267,76.01
1268,75.445
1269,109.412
1270,126.018
1271,147.752
1272,120.08
1273,77.562
1274,149.991
1275,118.223
1276,105.955
1277,139.907
1278,154.976
1279,150.133
1280,145.884
1281,145.062
1282,92.78
1283,140.042
1284,126.77
1285,159.966
1286,92.928
1287,120.039
1288,139.948
1289,77.511
1290,168.112
1291,103.369
1292,97.981
1293,170.067
1294,139.983
1295,100.034
1296,147.988
1297,140.042
1298,75.474
1299,147.988
1300,145.048
